distance;cfu;distance;meancfu;sdcfu
3;6,887225529;3;8,077675347;0,732915365
3;8,502210426;6;7,877075455;1,08124967
3;8,644013543;9;8,869495597;1,761142392
3;8,851500715;12;8,689176169;1,164713542
3;8,323530921;;;
3;7,943382092;;;
3;7,633020743;;;
3;7,344789518;;;
3;8,186449554;;;
3;7,849122522;;;
3;6,496120126;;;
3;8,502210426;;;
3;9,002867549;;;
3;9,094568177;;;
3;7,795344151;;;
3;8,186449554;;;
6;7,45801712;;;
6;9,485673579;;;
6;9,611581397;;;
6;8,312357371;;;
6;8,312357371;;;
6;8,312357371;;;
6;9,611581397;;;
6;8,024126146;;;
6;6,724902121;;;
6;5,713909321;;;
6;7,116007523;;;
6;7,985197206;;;
6;7,795344151;;;
6;6,887225529;;;
6;7,278330932;;;
6;7,404238749;;;
9;10,78492582;;;
9;10,91083363;;;
9;10,91083363;;;
9;10,91083363;;;
9;10,91083363;;;
9;10,91083363;;;
9;8,312357371;;;
9;9,611581397;;;
9;7,116007523;;;
9;7,278330932;;;
9;8,415231549;;;
9;7,507112926;;;
9;7,766402124;;;
9;7,116007523;;;
9;6,724902121;;;
9;6,724902121;;;
12;9,611581397;;;
12;9,611581397;;;
12;9,611581397;;;
12;10,91080542;;;
12;9,611581397;;;
12;9,611581397;;;
12;8,186449554;;;
12;8,024126146;;;
12;6,887225529;;;
12;9,611581397;;;
12;7,766402124;;;
12;7,278330932;;;
12;7,633020743;;;
12;8,186449554;;;
12;7,795344151;;;