distance;cfu;distance.1;meancfu;sdcfu
3;6,045565492;3;6,693425166;0,46533309
3;6,496120126;6;7,000877978;0,584336542
3;7,116007523;9;7,39392839;0,678329266
3;7,344789518;12;7,501408758;0,245171299
3;6,207888901;;;
3;6,496120126;;;
3;7,116007523;;;
3;6,724902121;;;
6;6,496120126;;;
6;6,724902121;;;
6;6,887225529;;;
6;7,116007523;;;
6;7,116007523;;;
6;7,795344151;;;
6;7,766402124;;;
6;6,105014724;;;
9;7,795344151;;;
9;7,404238749;;;
9;8,415231549;;;
9;7,669436334;;;
9;7,633020743;;;
9;6,105014724;;;
9;7,013133346;;;
9;7,116007523;;;
12;7,40423875;;;
12;7,79534415;;;
12;7,70364352;;;
12;7,79534415;;;
12;7,34478952;;;
12;7,34478952;;;
12;7,11600752;;;
12;7,50711293;;;